,Title,Rating,Review Date,Review
0,You need SoundCloud,5,6/26/2020 6:36,It’s by far the best music and created platform out there yes there are flaws but not many every week  you get a personal list of songs recommended for you from your listening history so you can discover more music and Artist you may like unlike other music platforms you can upload to and you can support small artists to help them grow it shows you the other side of music you have been missing out on my taste in music has changed so much for the better because of SoundCloud. You can find it or songs from popular artists today and see how they started you can’t get that anywhere else. It’s so easy to find the music you like and it will help you grown as a person to. I been using it for 1 and a half now and it gets better every day the best thing is it’s free and SoundCloud go is only 5 bucks it’s worth it. So all in all if you want to grown as a listener or start your career use SoundCloud.
1,SoundCloud Says Something’s Wrong with my Email,4,6/3/2021 20:06,"Hello, if you are reading this, please do. I want to tell you people that... Well... I don’t know how to start, but... When I was using SoundCloud one day, it randomly signed me out when I was just listening to a song. And I tried signing back in on my iPhone, but it said, “Error: Sorry, we couldn’t sign you in. Please check that you have already created an account and have entered the correct account details.” But it was the exact, and only email I’ve ever used on SoundCloud. I tried doing this a couple of more times, and it still kept saying it didn’t exist/wrong email details. I kept trying to sign back in for weeks, and it still doesn’t work. I tried to do “I forgot my password”, and when I inserted my email, it said something something went wrong. It’s not the password, or it would have said I put the wrong password. SoundCloud, please fix this. It says my email is wrong. And I am not making another account. I already have over 50 followers, and I don’t want to start all over again. Thank you, and other reviewers, for reading this. I hope you all have a wonderful day. Happy Summer!"
2,I did not give permission to renew this APP,1,9/22/2021 12:21,"I got a free trial. When that free trial was up, or even before it was up I removed it!! So why a month or 2 later when I buy an Apple pay card are you thieves going to charge my Apple Pay card? I don’t even have this app downloaded to my phone. I already reported it & I want my money back. This app was junk anyway. No offense but it even gives directions to go by to renew it. I never did. App is not even on my phone & they took it upon themselves to take $5-6 off of my Apple pay card. Now I have to wait 48 hours to see if they will refund my moneys?  I’m poor so every dollar counts. I notice I’d 1$ is missing. I reported it & if I do not get a refund I will be contacting an attorney. Yes! Over 5.99! Why? Because I got that card to use TJ buy more I cloud,  & not to pay for an app I am not even using nor is is downloaded to my phone anymore.  Wanting to all, do not download this app with the free trial. Because even if you cancel it & remove from your phone as soon as you get money on any card you are using, they will take money out!!!! I want a refund & I want it ASAP! I can’t even enjoy my phone because I can’t even put cash more I cloud because of this!! Can’t even do the update on my phone I need to do because I there’s no space or GB’s to do it! Could do it if I could pay for more iCloud"
3,Great,4,1/30/2021 5:17,"I been on SoundCloud for at least 5 and a half years and it’s awesome. There was at times bugs where I request songs to be in a playlist but rarely it crashes while doing so. Another thing is that there is a gimmick where there is songs that have like a “star” symbol or a premium song where you have to pay to listen for monthly cost. But not only you can listen to these premium songs, you can put download playlist for out of service ordeals. I would say the major downfall for this streaming service app is that I have to type the right perfect word for a song title, artist, or even a album in the search bar. If I misspelled a word, it would give me a totally different result of music or even no result at all. Therefore, I have to make sure to make more of a tension to spell the word of the song and such throughly. But other than that, I’ve been using the app at first free but I decided to pay monthly because I’ve been traveling more often now so it makes since of downloading songs. I recommend using this app. I’ve been previously using grooveshark until they shut down in 2015 then I switched over to SoundCloud."
4,"Unfortunately, just not worth it anymore.",1,9/21/2021 14:45,"A couple years ago I would’ve given 10/5 stars if I could. But nowadays, there’s so many advertisements that it makes listening not even worth it. I completely understand the reason for advertisements & for a long time, I could put up with them. However, I just used SoundCloud for the first time in maybe a year. THERE IS 2 ADS BETWEEN EACH TRACK. 
Back when I used to use SoundCloud for all my music, I’d have to put up with an occasional ad or two every 4-6 songs. But now it’s simply unbearable. I’m not exaggerating when I say I just logged onto SoundCloud & the first 4 tracks I played, I got 2 ads in between each. It was frustrating after the 2. Annoying after the 3rd. Infuriating after the 4th & I didn’t stick around for the 5th. 
I’ve been using audiomack as of late. I’d recommend that to anyone who doesn’t have music specifically on SoundCloud. I know that’s the reason I used SoundCloud so much. A lot of the underground artists would start on SoundCloud and their music would then find its way to other platforms. But I just can’t do the ads anymore. 
If you suggest paying for SoundCloud, why would I? The search engine all the way to the user experience is just terrible. Anyway, just my opinion. Happy listening, all!"
5,Lots of minor/medium problems,2,5/19/2020 5:21,"SoundCloud is fine.  I like that it’s free.  There are some songs, like Elise by The Greeting Committee, that used to be free but now require a premium for you to listen to.  I’d prefer if more were free, but beggars can’t be choosers.  Anyways, I don’t even know if that decision is up to SoundCloud or the individual creators.
There are some more glaring problems, though.  For one, when I try to scroll down quickly, the app gets really laggy, shows me one frame a second, and scrolls down incredibly slow.  It’s infuriating when I’m trying to go low down in my likes songs.
Another issue is finding when a song was posted or looking at its description.  Both of these are impossible on the SoundCloud app.  It seems that the developers only care about the computer version of SoundCloud, when it is much, much better as a mobile app.  I have no clue why you would focus on the computer more.  It’s not like I can carry a computer in my pocket while it’s connected to headphones or anything.
Also, when someone replies to one of my comments I’d like to be notified.  This one is just a small suggestion.
I usually like the app, but it needs major, major polishing.  Please update it!"
6,Amazing! But just one problem..,4,6/23/2020 0:50,"SoundCloud is an amazing app to use! I don’t really mind the Ads because I don’t really have any money to upgrade so I just stay with the regular SoundCloud instead of SoundCloud go. I’ve used this app for about 5 years now but since this year, I’ve started to notice a problem whenever I search for any music. Every time I search for music, I start to listen to it without liking it (because sometimes I forget to do that). But every time the song ends, or I try to look for a different version of the song, it always automatically skips to a different type of song that’s not under the title I searched for. This has been a constant issue for a few months so I decided to delete the app and try again, then it started to work like usual. But now, just a few seconds ago, the same problem popped up again. I don’t know if it’s a glitch in the system or just something that was included in the new update. But whatever it is, I’m not so happy with it. Other than that, that’s all I really have to say for the app whatsoever."
7,Fix the app,4,3/8/2020 2:57,"The following is complaints about the mobile Soundcloud:

Soundcloud is a good music app, not to lie. The ads are horrifyingly long, especially when you get a 30 second ad that you cannot skip. I can last a 15 second ad, but the ads are not skippable. Also another thing is if your new and you try to do the verification thing on mobile, it is possible the email won’t send at all. I’ve seen this on many other phones. Also, editing playlists most rearranging the songs don’t save until you repeatedly do it. Editing the name of the playlist I haven’t found anyway yet since. Another reason, are the visual bugs. Sometimes when loading in a song after an ad or so, the ad information shows up, but the song still plays. You can’t see the song until you close out of the ad and/or song. Also, a suggestion I’d like to make is you can verify your email whenever you want to, not while you’re editing your profile. Not trying to hate the app, it is pretty good, the main problems are the playlists bugs, and ads."
8,"not horrible, but not perfect",3,6/8/2020 1:41,"there are many minor issue about the app, like how you cant re arrange your liked songs and have to add every song to a playlist to control their positions (which i dont understand why thats even a thing). But the main 2 issues i have with this is the amount of times the app refreshes after its opened, to the point where it becomes the norm, and the amount of ads it give. The app constantly gives me ads in between songs and ruin the vibe, i could be listening to some sentimental music at high volume then get cut off by some guy talking about a brand new car i never knew even existed, exploading my ears by how loud the ads are, and not only that, sometimes it gives me 2 ads back to back, both 30 whole seconds, making me waste an entire minute listening to ads when i could of been done with the second song in the queue. many problems occur in the app, but other than that, the music is crispy, they give a variaty of different music every week, and it can play in the background. Its a fairly good app but its not perfect."
9,Soundcloud is okay... but could use work in certain areas!,3,4/1/2021 8:01,"soundcloud is great i’ve always loved it but there’s so many songs that i can’t  listen to because i don’t pay money every month??? there’s other apps i could download for music where i can listen to any song i want to, all of my friends and everyone i’ve talked to about it say that they don’t use soundcloud for this reason. my loyalty for soundcloud lies deep but i’m getting really annoyed every time i fall in love with a song and can’t put it on my playlist. i know for a fact that if this changed, so many more people would use soundcloud. or at least drop the monthly price down, i bet a large percentage of people that use soundcloud are 14-25 years old... people at this age generally don’t make as much money as the average person yet- due to being in high school and only having a part time job, or in college with a part time job trying to pay off student loans. not only would it make people happy, but it might be good for soundcloud’s benefits too!!!"
